 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

1508441,201801,1801-2400,ZZZ.Airport,US,,,,1800,,VMC,,,Daylight,,,TRACON ZZZ,Air Carrier,A319,,2,Part 121,IFR,Passenger,FMS Or FMC,Final Approach; Initial Approach,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Landing Gear,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),Flight Crew Type 377,,Troubleshooting,,,1508441,,,,,,,,,,,,Aircraft Equipment Problem Critical,,,Person Flight Crew,In-flight,Flight Crew Returned To Departure Airport; Flight Crew Overcame Equipment Problem; Flight Crew Landed in Emergency Condition,Aircraft,Aircraft,"This flight was a ferry flight to reposition the aircraft. The First Officer and I were the only people onboard. The aircraft had spent 3 days in Maintenance for a previous gear extension write up.Upon arrival; when we attempted to extend the landing gear down; the only indication we received was three red gear unlocked indications. We retracted the gear handle and the indications went back to lights out normal retraction. We attempted to extend the gear again and got same indication. No ECAM warning was present. I selected the wheel page to verify the gear was not down and locked. We performed a go-around and got vectors while we worked the issue.We ran the Landing Gear (L/G) not down locked QRH procedure; which lead us to the L/G gravity extension checklist. The checklist was successful. We received 3 green down-locked gear indications. We returned for an ILS. I requested that Crash Fire Rescue be standing by. I also notified ATC as a precaution; but advised ATC we did not require any special assistance. I also advised tower that once we landed; it was possible we would not be able to clear the runway since the QRH procedure disables normal nose wheel steering. The landing was normal and uneventful and I was able to clear runway. We cleared the runway and stopped the aircraft. We advised company and maintenance that we would need to have the aircraft towed to a gate due to lack of nose wheel steering. A company tow vehicle repositioned us to the gate.",,,,"A319 Captain reported malfunctioning landing gear; which required going through QRH procedures to get three green. Flight landed normally; but without nose gear steering.",
1508985,201801,0601-1200,ZZZ.Airport,US,,,,,,,,,Daylight,,,TRACON ZZZ,Air Carrier,A319,,2,Part 121,IFR,Passenger,,Initial Climb,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain,Flight Crew Air Transport Pilot (ATP),,,Physiological - Other,,,1508985,,,,,,,,,,,,Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,,,Person Flight Attendant,In-flight,General Work Refused; General Physical Injury / Incapacitation,Aircraft; Human Factors,Aircraft,"About 5-10 minutes after takeoff in climb the #1 Flight Attendant called and reported a strong odor in the cabin. We also smelled it but it was not too strong. The Flight Attendant walked through the whole cabin and called us back to report that the odor was in the whole cabin. I put the pack flow to high to try to increase airflow and ventilation in the cabin. That seemed to help reduce the strength of the odor but it was still present. Upon descent the strength of the odor seemed to increase again. The smell was still present but not very strong upon gate arrival. The Flight Attendants complained of a metallic taste in their throats and excessive thirst. I also noticed being thirsty. The whole crew decided to remove ourselves from duty and go to the on premise medical facility for evaluation. The First Officer and I felt fine and were cleared for duty. We then flew our next segment. The Flight Attendants still had the symptoms and one said that she was feeling dizzy so they did not return for duty.",,,,"A319 Captain reported the Flight Attendants were not feeling well after being exposed to odors in the cabin.",
1509474,201801,0601-1200,EWR.Airport,NJ,,,,5500,,VMC,,,Daylight,,,TRACON N90,Air Carrier,A320,,2,Part 121,IFR,Passenger,,Initial Approach,,Class E N90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personal,Small Aircraft,,1,Part 91,,Personal,,Cruise,,Class E N90,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Air Transport Pilot (ATP),Flight Crew Type 1575,,Situational Awareness; Workload,,,1509474,,,,,,,,,,,,Conflict NMAC; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Illness / Injury,,,Automation Aircraft RA,In-flight,Flight Crew Took Evasive Action,Human Factors,Human Factors,"While on the arrival to EWR; we were having a medical issue with a passenger. I was the pilot monitoring. Handling the coordination of paramedics/dispatch/medical personnel (onboard the aircraft) we were advised by the doctor/nurse on board that our passenger's medical situation was declining. At that time we requesting special/expedited handling. ATC NY approach did a great job prioritizing us. While the workload was high; the Captain included our pilot jump seater in assisting me as the pilot monitoring. All was safely accomplished. The medical situation was coordinated and being handled by flight attendants/medical personnel in the cabin and Dispatch had notified for paramedics to meet us upon arrival. The Captain and I were both doing our normal duties. He was flying. I was pilot monitoring. Communicating with the flight attendants and Dispatch had concluded. While on the arrival receiving radar vectors we were at 5;500 descending. ATC notified us that we had VFR traffic that they were not in contact with 1000 below us. We saw him in the TCAS and watched him maneuver closer to us when we got a TCAS RA. I believe the Captain even saw the traffic visually.  The autopilot was on at the time. I turned off the flight directors as per our procedure. The Captain clicked off the autopilot and followed the TCAS RA. It was a Climb RA; followed by a Monitor Vertical Speed; then a Clear of Conflict. We advised ATC of the TCAS RA to which they responded they watched us respond to it. We came within 400 ft of the traffic. The Captain once clear of conflict continued to hand fly the arrival and approach with autopilot and autothrottles off. We landed safely. Paramedics met the aircraft at the gate upon arrival and received medical attention. The Captain and I along with the help of jump seaters and Dispatch as well as flight attendant and medical personnel on board handled the situation safely and although we had multiple threats we were able to navigate safely to a safe landing. All personnel handled it very professionally.",,,,"A320 First Officer reported an NMAC on arrival into EWR with a light aircraft that was not in contact with ATC.",
1509520,201801,0601-1200,ONT.Airport,CA,,,,6000,,VMC,8,,Daylight,,,TRACON SCT,Air Carrier,A319,,2,Part 121,IFR,Passenger,,Climb,,Class E SCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown; Distraction; Human-Machine Interface; Workload,Party1 Flight Crew; Party2 ATC,,1509520,,,,,,,,,,,,ATC Issue All Types; Conflict Airborne Conflict; Inflight Event / Encounter CFTT / CFIT,,,Automation Aircraft RA; Person Flight Crew,In-flight,Air Traffic Control Issued Advisory / Alert; Air Traffic Control Issued New Clearance; Flight Crew Took Evasive Action; Flight Crew FLC complied w / Automation / Advisory,Environment - Non Weather Related; Human Factors; Procedure,Human Factors,"We departed 26R on SNSHN2 DEP which is routed over the POM VOR. On this SID the POM VOR is to be crossed at or below 8;000 feet. Clearance was to climb via the SID except maintain 14;000. SoCal advised us of VFR traffic less than a mile north of the POM VOR at 6;500. Shortly before reaching the POM VOR on the SID; SoCal told us to amend altitude to maintain 6;000. We then stopped the climb and leveled at 6;000. Shortly after leveling and approaching the POM VOR and making the turn on the SID towards terrain; we received an RA to descend due to the VFR traffic over the POM VOR; which had us descending towards terrain.Instead of SoCal flying us directly into traffic over the POM VOR; SoCal should have provided us with a heading to give us terrain and traffic avoidance. [They] gave us neither. If it is a necessity the VFR aircraft operate over the POM VOR; since the SID is at or below 8;000; the VFR traffic needs to be at or above 9;000. At the very minimum at or above 8;500 to provide separation. 6;500 is the same altitude we will be climbing through to climb via the SID.",,,,"A319 pilot reported airborne conflict (RA) with VFR traffic during SID climb.",
1511841,201801,0601-1200,ZZZ.Airport,US,,,,14000,,VMC,,,Daylight,,,TRACON ZZZ,Air Carrier,B737-800,,2,Part 121,IFR,Passenger,,Descent; Landing; Initial Approach; Final Approach,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Recirculation Fan,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),,,Distraction; Physiological - Other; Situational Awareness,,,1511841,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; First Officer,Flight Crew Air Transport Pilot (ATP),,,Situational Awareness; Physiological - Other; Distraction,,,1511236,Aircraft Equipment Problem Less Severe; Flight Deck / Cabin / Aircraft Event Illness / Injury; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,,,Person Flight Crew,Taxi; In-flight,General Physical Injury / Incapacitation; General Maintenance Action,Aircraft; Human Factors,Aircraft,"During an idle descent passing thru approximately 14;000 ft the First Officer asked if I smelled anything unusual. At first I did not notice anything. Then a minute later I commented on a musty smell. It did not seem significant at that time; then the First Officer commented that she thought it was getting worse. I could now smell what she did; kind of like a light maintenance oily garage smell. At about 9;000 ft I called the cabin and asked if there were any odors or fumes in the cabin. The answer was negative. There were no vapors or smoke and aircraft systems indicated everything normal. I did not realize that the fumes were concentrated at the First Officer position on the Flight Deck. With only about 10 minutes to landing and on an intercept to Localizer I elected to focus on the approach and landing. At this point I still did not think the event was significant. After landing during taxi to the gate the fumes were noticeably stronger and the First Officer requested to open her window for some fresh air. Maintenance was called out and after doing the parking checklist I debriefed the mechanic and filled out the [maintenance log]. At this time I started to notice an oily taste in my mouth. Departing the jet bridge the First Officer commented that she did not feel right and we decided to call [my union] for guidance. While filling out the Smoke; Odor; and Fumes Report form I began to have symptoms similar to the First Officer. The oily taste; nasal and throat irritation along with a slight headache. We decided to call off the trip and seek medical for a checkup. [Operations Control] along with the [Maintenance Control] were notified. We were seen at the Urgent Care [in the airport]. We both had elevated blood pressure and elevated levels of Carbon Monoxide. Chest X-rays were taken. After treatment of 30 minutes on Oxygen another Blood Draw was accomplished and CO (Carbon Monoxide) levels had come down. We were released and deadheaded home. [Operations Control]; tracking/scheduling; Chief Pilot were notified. I checked the Aircraft Maintenance Log this morning. It looked like it turned out to be an Electronic Equipment Cooling Fan failure.",,"[Report narrative contained no additional information.]",,"B737-800 flight crew reported smelling odors in the cockpit during the descent. Upon landing the crew was found to have elevated levels of carbon monoxide in their blood.",
1512591,201801,0601-1200,ZFW.ARTCC,TX,,,,11500,,VMC,,,Daylight,,,Center ZFW,Air Carrier,A319,,2,Part 121,IFR,Passenger,FMS Or FMC,Climb,SID DARTZ SEVEN,Class E ZFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DC-3/Dakota/Skytrain,,2,Part 91,,,,Cruise,,Class E ZFW,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Air Transport Pilot (ATP),Flight Crew Total 12880,,Communication Breakdown; Situational Awareness,Party1 Flight Crew; Party2 ATC,,1512591,,,,,,,,,,,,ATC Issue All Types; Conflict Airborne Conflict; Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Published Material / Policy,,,Automation Aircraft RA; Automation Aircraft TA; Person Flight Crew,In-flight,Flight Crew Took Evasive Action,Human Factors; Procedure,Human Factors,"On the DARTZ7 departure around 11;500 ft MSL; ZFW Center called out traffic (DC-3) at our 10 O'clock. After acquiring the traffic; we called visual. As we continued our southbound climb; we noticed the traffic start a turn into us. We received a TCAS Traffic & Resolution Advisory to descend. We complied and I communicated this to ATC. The DC-3 passed above and behind us.When ATC made the call on traffic to us; we were able to acquire it visually. I'm not sure why ATC stopped giving us advisories unless the radar sweep was slow and he was not able to see the traffic turn into us. The TCAS (great tool) provided us backup to what we both could already see was about to happen if we did not intervene our flightpath. Later via a phone conversation with the Captain; the ATC supervisor said the Controller thought we were responsible for separation because we called traffic in sight.If in doubt; communicate early with ATC about your intentions or clarify your concerns about who is responsible for separation. When all else fails; rely on your training (back to the basics)...TCAS TA/RA procedures; traffic avoidance; etc. Also; this is a good reminder for us all in the cockpit of how important visual lookout is in all environments and the techniques we have (automation/autopilot) that allow us to maintain situational awareness while we look for potential threats.",,,,"A319 First Officer reported an airborne conflict during the climb out after reporting traffic in sight to ATC.",
1512779,201801,,ZZZZ.ARTCC,FO,,,,35000,,VMC,,,,,,Center ZZZZ,Air Carrier,B767 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Cruise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; Captain,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 240; Flight Crew Total 24000,,,,,1512779,Aircraft X,Flight Deck,Air Carrier,Relief Pilot; First Officer,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 400; Flight Crew Total 12500; Flight Crew Type 4000,,,,,1512782,Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor; Flight Deck / Cabin / Aircraft Event Illness / Injury,,,Person Flight Attendant,In-flight,Air Traffic Control Provided Assistance; Flight Crew Returned To Departure Airport; Flight Crew Landed As Precaution; General Physical Injury / Incapacitation,Aircraft,Aircraft,"Approximately 2 hours into the flight; I was contacted by our purser. She asked me if we were doing any turns or climbs or descents because she and a few other flight attendants were feeling dizzy and nauseous. I told her no; we had been in straight and level flight for the last two hours. I told her I'll try to increase the air quality in the cabin; so I turned off the Right Recirculating Fan. I also asked her if she or any of the other flight attendants smelled anything strange; like wet dirty socks. We also checked the cabin altitude to make sure that the cabin was not climbing. It was stable at around 8500 ft; and made sure there were no Ozone areas in the [weather] map. A few minutes later; [the Flight Attendant] contacted me again to let me know the flight attendants were getting worse; both the ones in the front of the airplane and in the back. That they were almost incapacitated. I asked her to wake up our IRO (International Relief Officer); and immediately contacted Dispatch through SATCOM and requested a patch with Medlink.[The First Officer] went through the entire cabin and could not smell any fumes or anything unusual. But he did say some flight attendants looked ill. One of them reported blurred; narrow vision; another had teary eyes and was sweating. I had the Purser come to the cockpit to listen what [to] the doctor had to say; as we went through the symptoms. The doctor recommended that some; but not all of the flight attendants take a medication called Diphenhydramine to counter the symptoms. And he also recommended that we land as soon as possible. As a side note; the medication was NOT in the med kit the doctor said it should be. It was in the cockpit med kit. So his information needs to be updated/corrected.The decision was made to return to [the departure airport] because they have excellent medical facilities; longer runways; and some of the passengers originated from there. It was about a two hour flight to return from that point; and we were still looking at an overweight landing. We requested a turn back for medical reasons. We got immediate priority without requesting it.I had [the Purser] pass her Purser duties to [another flight attendant]; and directed that her and 2 other flight attendants with the worst symptoms take the pills. That gave us a minimum crew of 5 FAs (Flight Attendants). We checked their status every 10 minutes; and told them to let us know ASAP if they got worse; in case we needed to divert somewhere closer. Most of them reported feeling better; especially after taking oxygen. They did measure their oxygen levels with the oxygen meter in the quick response kit. Initially; their O2 levels were unusually low; in the mid-80s.We asked ATC for lower altitudes for two reasons; lower cabin altitude; and higher fuel burn because we were projecting an overweight landing. On the way; we reviewed the Smoke and Fumes Elimination; Ozone; Bio Hazard and Overweight checklists. Only the Overweight Landing checklist could apply. We did have an overweight landing (+/-4;000 lbs). That was necessary due to the nature of the emergency; we could not remain in the air longer to burn more fuel. Autobrakes disconnected on landing and manual braking was required. The left main gear temperatures were reading 4s by the time we exited [the runway]. [It was] a short taxi to the remote parking stand; and it took a few minutes for the ground personnel to install wheel chocks. By then; the left main landing gear temperatures had climbed to 9s. The left rear tire fuse melted and the tire deflated. Fire department; medical and mechanic personnel met the airplane and took care of the situation from there.Flight attendants and some passengers were taken to the airport clinic. They felt OK and released shortly after. We found out next day that all flight attendants tested positive for CO2. Their symptoms during the flight verified that fact.",,"[Report narrative contained no additional information.]",,"B767 flight crew reported a return to departure airport after several flight attendants and some passengers became lightheaded; dizzy; and nauseous. The flight attendants later tested positive for CO2.",
1513600,201801,1201-1800,ZZZ.Airport,US,,,,,,,,,Daylight,CLR,,,Air Carrier,A330,,,Part 121,IFR,Passenger,,Initial Approach; Initial Climb,,,,,,,,,Medium,258,250,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),,Flight Attendant Airline Total 49; Flight Attendant Number Of Acft Qualified On 9; Flight Attendant Total 49; Flight Attendant Type 25,,Physiological - Other,,,1513600,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),,Flight Attendant Airline Total 40; Flight Attendant Number Of Acft Qualified On 6; Flight Attendant Total 40; Flight Attendant Type 25,,Physiological - Other,,,1516320,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor; Flight Deck / Cabin / Aircraft Event Illness / Injury,,Y,Person Flight Attendant,In-flight,General Physical Injury / Incapacitation,Aircraft; Human Factors,Aircraft,"On takeoff I smelled fumes that had a sweet chemical smell which dissipated at altitude. Upon approach for landing the fumes returned; only much worse. Did not smell like dirty socks or vomit. There was no haze or smoke. The odor was acrid; burning oily chemicals.Upon arrival at the gate I went to the cockpit to discuss with the Captain and couldn't cross the threshold into the cockpit as the fumes were much; much worse. An immediate headache; burning eyes; throat and chest area.All Flight Attendants (FA) congregated on the loading bridge. EMTs arrived and took all of our blood pressures; gave us an EKG and recorded out 02 levels. 2 FAs' blood pressure was so high that they were transported to the emergency room. All of our blood pressures were significantly higher than normal. Return flight was cancelled. We deadheaded back. [It was] recommended that I go to the Emergency Room. Blood Pressure; EKG and blood test revealed no CO in my body. No blood test was done for inhalation of fumes. [I was] informed that there was no such test--at least it was not done at this hospital. They were unaware of any such test.I continued to have a headache for over a week; tightness/heaviness in the chest--like bronchitis/chest cold--short term memory loss and brain fog for several days.",,"On [this] flight; 3rd cabin crew noticed an acrid odor shortly after takeoff but smell dissipated soon afterward. Smell returned on descent and was also strong in flight station. After landing; paramedics were called to check out flight attendants after several were not feeling well.All Flight Attendants (FA) had elevated blood pressure readings. One FA was going to be transported to ER after observation. My face shortly thereafter; turned bright red and felt like it was on fire.Paramedics took my blood pressure readings 3 more times and decided I needed to be transported to ER as well.Upon arriving to hospital we were left sitting in waiting room for 3 hours with no care or observation. We were then taken to a room and our blood pressure was taken again. My lungs also felt some burning.Within an hour we were then taken to hotel and no further care was given. We did deadhead following day and we were met by supervisors.I went to clinic following [the flight]. My blood pressure was reading [high] so I was once again transported to ER for observation and testing.",,"A330 cabin crew reported smelling an odd odor in flight. After landing the reporters received medical attention for the effects of the odor.",
