_ACN,Time_Date,Time_Local Time Of Day,Place_State Reference,Aircraft 1_Aircraft Operator,Aircraft 1_Mission,Aircraft 1_Make Model Name,Aircraft 1_Flight Phase,Component_Aircraft Component,Person 1_Function,Person 1_Qualification,Person 1_Human Factors,Events_Anomaly,Events_Detector,Events_When Detected,Events_Result,Assessments_Contributing Factors / Situations,Assessments_Primary Problem,Report 1_Narrative,Report 1_Synopsis
1508441,201801,1801-2400,US,Air Carrier,Passenger,A319,Final Approach; Initial Approach,Landing Gear,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),Troubleshooting,Aircraft Equipment Problem Critical,Person Flight Crew,In-flight,Flight Crew Returned To Departure Airport; Flight Crew Overcame Equipment Problem; Flight Crew Landed in Emergency Condition,Aircraft,Aircraft,This flight was a ferry flight to reposition the aircraft. The First Officer and I were the only people onboard. The aircraft had spent 3 days in Maintenance for a previous gear extension write up.Upon arrival; when we attempted to extend the landing gear down; the only indication we received was three red gear unlocked indications. We retracted the gear handle and the indications went back to lights out normal retraction. We attempted to extend the gear again and got same indication. No ECAM warning was present. I selected the wheel page to verify the gear was not down and locked. We performed a go-around and got vectors while we worked the issue.We ran the Landing Gear (L/G) not down locked QRH procedure; which lead us to the L/G gravity extension checklist. The checklist was successful. We received 3 green down-locked gear indications. We returned for an ILS. I requested that Crash Fire Rescue be standing by. I also notified ATC as a precaution; but advised ATC we did not require any special assistance. I also advised tower that once we landed; it was possible we would not be able to clear the runway since the QRH procedure disables normal nose wheel steering. The landing was normal and uneventful and I was able to clear runway. We cleared the runway and stopped the aircraft. We advised company and maintenance that we would need to have the aircraft towed to a gate due to lack of nose wheel steering. A company tow vehicle repositioned us to the gate.,A319 Captain reported malfunctioning landing gear; which required going through QRH procedures to get three green. Flight landed normally; but without nose gear steering.
1508985,201801,0601-1200,US,Air Carrier,Passenger,A319,Initial Climb,,Captain,Flight Crew Air Transport Pilot (ATP),Physiological - Other,Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,Person Flight Attendant,In-flight,General Work Refused; General Physical Injury / Incapacitation,Aircraft; Human Factors,Aircraft,About 5-10 minutes after takeoff in climb the #1 Flight Attendant called and reported a strong odor in the cabin. We also smelled it but it was not too strong. The Flight Attendant walked through the whole cabin and called us back to report that the odor was in the whole cabin. I put the pack flow to high to try to increase airflow and ventilation in the cabin. That seemed to help reduce the strength of the odor but it was still present. Upon descent the strength of the odor seemed to increase again. The smell was still present but not very strong upon gate arrival. The Flight Attendants complained of a metallic taste in their throats and excessive thirst. I also noticed being thirsty. The whole crew decided to remove ourselves from duty and go to the on premise medical facility for evaluation. The First Officer and I felt fine and were cleared for duty. We then flew our next segment. The Flight Attendants still had the symptoms and one said that she was feeling dizzy so they did not return for duty.,A319 Captain reported the Flight Attendants were not feeling well after being exposed to odors in the cabin.
1509474,201801,0601-1200,NJ,Air Carrier,Passenger,A320,Initial Approach,,Pilot Not Flying; First Officer,Flight Crew Air Transport Pilot (ATP),Situational Awareness; Workload,Conflict NMAC; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Illness / Injury,Automation Aircraft RA,In-flight,Flight Crew Took Evasive Action,Human Factors,Human Factors,While on the arrival to EWR; we were having a medical issue with a passenger. I was the pilot monitoring. Handling the coordination of paramedics/dispatch/medical personnel (onboard the aircraft) we were advised by the doctor/nurse on board that our passenger's medical situation was declining. At that time we requesting special/expedited handling. ATC NY approach did a great job prioritizing us. While the workload was high; the Captain included our pilot jump seater in assisting me as the pilot monitoring. All was safely accomplished. The medical situation was coordinated and being handled by flight attendants/medical personnel in the cabin and Dispatch had notified for paramedics to meet us upon arrival. The Captain and I were both doing our normal duties. He was flying. I was pilot monitoring. Communicating with the flight attendants and Dispatch had concluded. While on the arrival receiving radar vectors we were at 5;500 descending. ATC notified us that we had VFR traffic that they were not in contact with 1000 below us. We saw him in the TCAS and watched him maneuver closer to us when we got a TCAS RA. I believe the Captain even saw the traffic visually.  The autopilot was on at the time. I turned off the flight directors as per our procedure. The Captain clicked off the autopilot and followed the TCAS RA. It was a Climb RA; followed by a Monitor Vertical Speed; then a Clear of Conflict. We advised ATC of the TCAS RA to which they responded they watched us respond to it. We came within 400 ft of the traffic. The Captain once clear of conflict continued to hand fly the arrival and approach with autopilot and autothrottles off. We landed safely. Paramedics met the aircraft at the gate upon arrival and received medical attention. The Captain and I along with the help of jump seaters and Dispatch as well as flight attendant and medical personnel on board handled the situation safely and although we had multiple threats we were able to navigate safely to a safe landing. All personnel handled it very professionally.,A320 First Officer reported an NMAC on arrival into EWR with a light aircraft that was not in contact with ATC.
1509520,201801,0601-1200,CA,Air Carrier,Passenger,A319,Climb,,Pilot Flying,Flight Crew Air Transport Pilot (ATP),Communication Breakdown; Distraction; Human-Machine Interface; Workload,ATC Issue All Types; Conflict Airborne Conflict; Inflight Event / Encounter CFTT / CFIT,Automation Aircraft RA; Person Flight Crew,In-flight,Air Traffic Control Issued Advisory / Alert; Air Traffic Control Issued New Clearance; Flight Crew Took Evasive Action; Flight Crew FLC complied w / Automation / Advisory,Environment - Non Weather Related; Human Factors; Procedure,Human Factors,We departed 26R on SNSHN2 DEP which is routed over the POM VOR. On this SID the POM VOR is to be crossed at or below 8;000 feet. Clearance was to climb via the SID except maintain 14;000. SoCal advised us of VFR traffic less than a mile north of the POM VOR at 6;500. Shortly before reaching the POM VOR on the SID; SoCal told us to amend altitude to maintain 6;000. We then stopped the climb and leveled at 6;000. Shortly after leveling and approaching the POM VOR and making the turn on the SID towards terrain; we received an RA to descend due to the VFR traffic over the POM VOR; which had us descending towards terrain.Instead of SoCal flying us directly into traffic over the POM VOR; SoCal should have provided us with a heading to give us terrain and traffic avoidance. [They] gave us neither. If it is a necessity the VFR aircraft operate over the POM VOR; since the SID is at or below 8;000; the VFR traffic needs to be at or above 9;000. At the very minimum at or above 8;500 to provide separation. 6;500 is the same altitude we will be climbing through to climb via the SID.,A319 pilot reported airborne conflict (RA) with VFR traffic during SID climb.
1511841,201801,0601-1200,US,Air Carrier,Passenger,B737-800,Descent; Landing; Initial Approach; Final Approach,Recirculation Fan,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),Distraction; Physiological - Other; Situational Awareness,Aircraft Equipment Problem Less Severe; Flight Deck / Cabin / Aircraft Event Illness / Injury; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,Person Flight Crew,Taxi; In-flight,General Physical Injury / Incapacitation; General Maintenance Action,Aircraft; Human Factors,Aircraft,During an idle descent passing thru approximately 14;000 ft the First Officer asked if I smelled anything unusual. At first I did not notice anything. Then a minute later I commented on a musty smell. It did not seem significant at that time; then the First Officer commented that she thought it was getting worse. I could now smell what she did; kind of like a light maintenance oily garage smell. At about 9;000 ft I called the cabin and asked if there were any odors or fumes in the cabin. The answer was negative. There were no vapors or smoke and aircraft systems indicated everything normal. I did not realize that the fumes were concentrated at the First Officer position on the Flight Deck. With only about 10 minutes to landing and on an intercept to Localizer I elected to focus on the approach and landing. At this point I still did not think the event was significant. After landing during taxi to the gate the fumes were noticeably stronger and the First Officer requested to open her window for some fresh air. Maintenance was called out and after doing the parking checklist I debriefed the mechanic and filled out the [maintenance log]. At this time I started to notice an oily taste in my mouth. Departing the jet bridge the First Officer commented that she did not feel right and we decided to call [my union] for guidance. While filling out the Smoke; Odor; and Fumes Report form I began to have symptoms similar to the First Officer. The oily taste; nasal and throat irritation along with a slight headache. We decided to call off the trip and seek medical for a checkup. [Operations Control] along with the [Maintenance Control] were notified. We were seen at the Urgent Care [in the airport]. We both had elevated blood pressure and elevated levels of Carbon Monoxide. Chest X-rays were taken. After treatment of 30 minutes on Oxygen another Blood Draw was accomplished and CO (Carbon Monoxide) levels had come down. We were released and deadheaded home. [Operations Control]; tracking/scheduling; Chief Pilot were notified. I checked the Aircraft Maintenance Log this morning. It looked like it turned out to be an Electronic Equipment Cooling Fan failure.,B737-800 flight crew reported smelling odors in the cockpit during the descent. Upon landing the crew was found to have elevated levels of carbon monoxide in their blood.
1512591,201801,0601-1200,TX,Air Carrier,Passenger,A319,Climb,,Pilot Not Flying; First Officer,Flight Crew Air Transport Pilot (ATP),Communication Breakdown; Situational Awareness,ATC Issue All Types; Conflict Airborne Conflict; Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Published Material / Policy,Automation Aircraft RA; Automation Aircraft TA; Person Flight Crew,In-flight,Flight Crew Took Evasive Action,Human Factors; Procedure,Human Factors,On the DARTZ7 departure around 11;500 ft MSL; ZFW Center called out traffic (DC-3) at our 10 O'clock. After acquiring the traffic; we called visual. As we continued our southbound climb; we noticed the traffic start a turn into us. We received a TCAS Traffic & Resolution Advisory to descend. We complied and I communicated this to ATC. The DC-3 passed above and behind us.When ATC made the call on traffic to us; we were able to acquire it visually. I'm not sure why ATC stopped giving us advisories unless the radar sweep was slow and he was not able to see the traffic turn into us. The TCAS (great tool) provided us backup to what we both could already see was about to happen if we did not intervene our flightpath. Later via a phone conversation with the Captain; the ATC supervisor said the Controller thought we were responsible for separation because we called traffic in sight.If in doubt; communicate early with ATC about your intentions or clarify your concerns about who is responsible for separation. When all else fails; rely on your training (back to the basics)...TCAS TA/RA procedures; traffic avoidance; etc. Also; this is a good reminder for us all in the cockpit of how important visual lookout is in all environments and the techniques we have (automation/autopilot) that allow us to maintain situational awareness while we look for potential threats.,A319 First Officer reported an airborne conflict during the climb out after reporting traffic in sight to ATC.
1512779,201801,,FO,Air Carrier,Passenger,B767 Undifferentiated or Other Model,Cruise,,Pilot Not Flying; Captain,Flight Crew Air Transport Pilot (ATP),,Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor; Flight Deck / Cabin / Aircraft Event Illness / Injury,Person Flight Attendant,In-flight,Air Traffic Control Provided Assistance; Flight Crew Returned To Departure Airport; Flight Crew Landed As Precaution; General Physical Injury / Incapacitation,Aircraft,Aircraft,Approximately 2 hours into the flight; I was contacted by our purser. She asked me if we were doing any turns or climbs or descents because she and a few other flight attendants were feeling dizzy and nauseous. I told her no; we had been in straight and level flight for the last two hours. I told her I'll try to increase the air quality in the cabin; so I turned off the Right Recirculating Fan. I also asked her if she or any of the other flight attendants smelled anything strange; like wet dirty socks. We also checked the cabin altitude to make sure that the cabin was not climbing. It was stable at around 8500 ft; and made sure there were no Ozone areas in the [weather] map. A few minutes later; [the Flight Attendant] contacted me again to let me know the flight attendants were getting worse; both the ones in the front of the airplane and in the back. That they were almost incapacitated. I asked her to wake up our IRO (International Relief Officer); and immediately contacted Dispatch through SATCOM and requested a patch with Medlink.[The First Officer] went through the entire cabin and could not smell any fumes or anything unusual. But he did say some flight attendants looked ill. One of them reported blurred; narrow vision; another had teary eyes and was sweating. I had the Purser come to the cockpit to listen what [to] the doctor had to say; as we went through the symptoms. The doctor recommended that some; but not all of the flight attendants take a medication called Diphenhydramine to counter the symptoms. And he also recommended that we land as soon as possible. As a side note; the medication was NOT in the med kit the doctor said it should be. It was in the cockpit med kit. So his information needs to be updated/corrected.The decision was made to return to [the departure airport] because they have excellent medical facilities; longer runways; and some of the passengers originated from there. It was about a two hour flight to return from that point; and we were still looking at an overweight landing. We requested a turn back for medical reasons. We got immediate priority without requesting it.I had [the Purser] pass her Purser duties to [another flight attendant]; and directed that her and 2 other flight attendants with the worst symptoms take the pills. That gave us a minimum crew of 5 FAs (Flight Attendants). We checked their status every 10 minutes; and told them to let us know ASAP if they got worse; in case we needed to divert somewhere closer. Most of them reported feeling better; especially after taking oxygen. They did measure their oxygen levels with the oxygen meter in the quick response kit. Initially; their O2 levels were unusually low; in the mid-80s.We asked ATC for lower altitudes for two reasons; lower cabin altitude; and higher fuel burn because we were projecting an overweight landing. On the way; we reviewed the Smoke and Fumes Elimination; Ozone; Bio Hazard and Overweight checklists. Only the Overweight Landing checklist could apply. We did have an overweight landing (+/-4;000 lbs). That was necessary due to the nature of the emergency; we could not remain in the air longer to burn more fuel. Autobrakes disconnected on landing and manual braking was required. The left main gear temperatures were reading 4s by the time we exited [the runway]. [It was] a short taxi to the remote parking stand; and it took a few minutes for the ground personnel to install wheel chocks. By then; the left main landing gear temperatures had climbed to 9s. The left rear tire fuse melted and the tire deflated. Fire department; medical and mechanic personnel met the airplane and took care of the situation from there.Flight attendants and some passengers were taken to the airport clinic. They felt OK and released shortly after. We found out next day that all flight attendants tested positive for CO2. Their symptoms during the flight verified that fact.,B767 flight crew reported a return to departure airport after several flight attendants and some passengers became lightheaded; dizzy; and nauseous. The flight attendants later tested positive for CO2.
1513600,201801,1201-1800,US,Air Carrier,Passenger,A330,Initial Approach; Initial Climb,,Flight Attendant (On Duty),,Physiological - Other,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor; Flight Deck / Cabin / Aircraft Event Illness / Injury,Person Flight Attendant,In-flight,General Physical Injury / Incapacitation,Aircraft; Human Factors,Aircraft,On takeoff I smelled fumes that had a sweet chemical smell which dissipated at altitude. Upon approach for landing the fumes returned; only much worse. Did not smell like dirty socks or vomit. There was no haze or smoke. The odor was acrid; burning oily chemicals.Upon arrival at the gate I went to the cockpit to discuss with the Captain and couldn't cross the threshold into the cockpit as the fumes were much; much worse. An immediate headache; burning eyes; throat and chest area.All Flight Attendants (FA) congregated on the loading bridge. EMTs arrived and took all of our blood pressures; gave us an EKG and recorded out 02 levels. 2 FAs' blood pressure was so high that they were transported to the emergency room. All of our blood pressures were significantly higher than normal. Return flight was cancelled. We deadheaded back. [It was] recommended that I go to the Emergency Room. Blood Pressure; EKG and blood test revealed no CO in my body. No blood test was done for inhalation of fumes. [I was] informed that there was no such test--at least it was not done at this hospital. They were unaware of any such test.I continued to have a headache for over a week; tightness/heaviness in the chest--like bronchitis/chest cold--short term memory loss and brain fog for several days.,A330 cabin crew reported smelling an odd odor in flight. After landing the reporters received medical attention for the effects of the odor.
1514149,201801,1201-1800,US,Air Carrier,Passenger,A320,Takeoff / Launch,,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),Distraction; Confusion; Situational Awareness,Ground Event / Encounter Loss Of Aircraft Control; Ground Event / Encounter Object,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Regained Aircraft Control; Flight Crew Returned To Gate; General Maintenance Action; General Flight Cancelled / Delayed,Human Factors; Weather,Human Factors,We were cleared for takeoff. While turning onto centerline I brought the engines up to stable power. When I was lined up I selected TOGA power; because of the strong left crosswind. The plane immediately began to yaw right. I tried to steer left with the tiller; then pulled off the power; then utilized asymmetric braking. When I got the plane straight; I exited at the next taxiway. The aircraft behind us reported to Tower that we hit a runway edge light; but we didn't feel it. The First Officer called the Tower and told them we're rejecting; then told the passengers to remain seated. After we exited the runway [First Officer] ran the rejected takeoff checklist. We taxied uneventfully back to the gate.,A320 flight crew reported losing directional control while commencing the takeoff roll in strong crosswind conditions. The aircraft remained on the runway; however; it did strike runway edge lighting.
1514398,201801,0601-1200,US,Air Carrier,Passenger,B737 Undifferentiated or Other Model,Cruise,Powerplant Fuel Distribution,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),Distraction,Aircraft Equipment Problem Critical; Inflight Event / Encounter Fuel Issue,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Landed in Emergency Condition; Flight Crew Diverted; General Maintenance Action,Aircraft,Aircraft,We were scheduled to land with about 7.0 lbs. of fuel. We noticed the FOB (Fuel on Board) was decreasing below 7.0. The winds were higher than forecast so we didn't think much of it. We did decide to climb ahead of schedule since the winds were no worse higher in an attempt to get back on our burn schedule. Upon reaching [the midpoint of the flight] FOB had decreased significantly more; around 4.5 if I remember correctly. This is when we first became concerned that we may need to do a fuel stop if the winds did not subside and the burn trend reverse. We texted dispatch with our FOB and concern. I noticed an 800lb fuel imbalance so I did a cross feed while waiting to hear back from dispatch. Dispatch said he was showing us crossing the fixes +/- 200 lbs. After a couple more exchanges with dispatch the FOB had dropped to 3.5. We did a FMC position report; dispatch was showing the same thing +/- 200 lbs. The fuel had become imbalanced again so we started looking at alternative explanations than un-forecasted winds. As the FOB dropped to 3.0 we decided we were going to have to fuel stop at a minimum. Meanwhile Dispatch had sent us a flight plan to [an alternate] if we wanted to; but his info was still showing we were on plan. We had 16.5 FOB at this time so we did not feel pressure to act rashly. We looked at options and tried to explain the discrepancy. We did the fuel leak check list and it appeared that we had enough symptoms to confirm that we had a probable leak. We had plenty of fuel so we decided it was not prudent to create another emergency by shutting down #2 engine. We discussed when we would continue check list and shut it down. We determined 2000 lbs in # 2 tank as our bottom line for shut down. At the same time as discussions and checklist were ongoing we started the divert.We did a normal landing [at the alternate] with both engines running. We had Fire department check for visible signs of leak. The said #2 was leaking. We shut it down on the taxiway and confirmed the leak had stopped prior to proceeding to gate.,Boeing 737 flight crew reported a fuel burn in excess of that expected for the flight. Troubleshooting suggested a fuel leak and a successful diversion to a suitable airport was accomplished.
